season,team_a,team_b,rating_a,rating_b,rating_diff,duncan_fav,vegas_fav,vegas_g1_spread,actual_winner,actual_loser,series_score,n_games,duncan_correct,vegas_correct,first_game_date
2022,Denver Nuggets,Golden State Warriors,1.9336670644443883,2.172147786428955,0.23848072198456682,Golden State Warriors,Golden State Warriors,6.0,Golden State Warriors,Denver Nuggets,4-1,5,True,True,2022-04-16
2022,Memphis Grizzlies,Minnesota Timberwolves,7.670072658130566,2.9739692571414853,4.696103400989081,Memphis Grizzlies,Memphis Grizzlies,6.5,Memphis Grizzlies,Minnesota Timberwolves,4-2,6,True,True,2022-04-16
2022,Philadelphia 76ers,Toronto Raptors,4.2831391916015775,3.6568267230608007,0.6263124685407768,Philadelphia 76ers,Philadelphia 76ers,4.5,Philadelphia 76ers,Toronto Raptors,4-2,6,True,True,2022-04-16
2022,Atlanta Hawks,Miami Heat,3.5922108693096453,4.642085437331016,1.0498745680213704,Miami Heat,Miami Heat,6.5,Miami Heat,Atlanta Hawks,4-1,5,True,True,2022-04-17
2022,Boston Celtics,Brooklyn Nets,10.248662026524604,0.8672575491029088,9.381404477421695,Boston Celtics,Boston Celtics,4.5,Boston Celtics,Brooklyn Nets,4-0,4,True,True,2022-04-17
2022,Chicago Bulls,Milwaukee Bucks,-2.853509723261369,3.12485446081793,5.9783641840792985,Milwaukee Bucks,Milwaukee Bucks,10.5,Milwaukee Bucks,Chicago Bulls,4-1,5,True,True,2022-04-17
2022,New Orleans Pelicans,Phoenix Suns,1.3961152472296212,6.297333139541178,4.901217892311557,Phoenix Suns,Phoenix Suns,10.0,Phoenix Suns,New Orleans Pelicans,4-2,6,True,True,2022-04-17
2022,Boston Celtics,Milwaukee Bucks,10.272506161628064,4.022842066779925,6.249664094848138,Boston Celtics,Boston Celtics,5.0,Boston Celtics,Milwaukee Bucks,4-3,7,True,True,2022-05-01
2022,Golden State Warriors,Memphis Grizzlies,3.0907595644276418,7.900219370957153,4.809459806529511,Memphis Grizzlies,Golden State Warriors,-2.5,Golden State Warriors,Memphis Grizzlies,4-2,6,False,True,2022-05-01
2022,Dallas Mavericks,Phoenix Suns,4.638878871290406,5.559591190389348,0.9207123190989419,Phoenix Suns,Phoenix Suns,6.5,Dallas Mavericks,Phoenix Suns,4-3,7,False,False,2022-05-02
2022,Miami Heat,Philadelphia 76ers,6.204070106778669,5.1953382794663545,1.0087318273123147,Miami Heat,Miami Heat,7.5,Miami Heat,Philadelphia 76ers,4-2,6,True,True,2022-05-02
